PASSPORT_ID,PASSPORT_SERIES,PASSPORT_NUMBER,ISSUE_DATE,ISSUED_BY,FIRST_NAME,LAST_NAME,PATRONYMIC,BIRTH_DATE,ID,CONTRACT_HUMAN_ID
1234FW45F456,MP,3275938,2003-05-20,"Zavodskoe RUVD",VERONIKA,BOGDANOVICH,VICTOROVNA,1999-08-22,1,1234FW45F456
1567UY654A45,HB,3438723,2006-12-20,"Novogrudskoe ROVD",TIMUR,SAVKO,LEONIDOVICH,1998-10-26,6,1567UY654A45
234567G45JH2,MP,3456524,2013-11-18,"Zavodskoe RUVD",ANNA,AKSENOVA,DMITRIEVNA,1999-04-09,7,234567G45JH2
2345FG456S56,BM,3514632,2008-04-20,"Vitebskoe RUVD",ARTEM,MAKLAKOV,VLADIMIROVICH,1999-01-09,3,2345FG456S56
2345KJ4567H6,MP,3278456,2003-10-20,"Frunzenskoe RUVD",VICTORIA,NIKANOVICH,SERGEEVNA,1998-06-04,5,2345KJ4567H6
345JH45678G8,MP,3769845,2013-09-13,"Centralnoe RUVD",ANASTASIA,PYZH,IGOREVNA,1998-09-06,9,345JH45678G8
4567JH4567J5,BM,3428793,2010-12-25,"Vitebskoe RUVD",NATALIA,MAKLAK,ALEKSANDROVNA,1997-12-12,10,4567JH4567J5
634DF3456F45,MP,3572345,2009-08-20,"Leninskoe RUVD",ELIZAVETA,MARTSYNKEVICH,VYACHESLAVOVNA,1999-02-12,4,634DF3456F45
6543D3456KJ6,MP,3256179,2012-12-08,"Partyzanskoe RUVD",ANDREI,MIRUGIN,ALEKSANDROVICH,1999-02-16,8,6543D3456KJ6
74532A356DF3,MP,3214598,2012-04-20,"Moskovskoe RUVD",ANNA,METELSKAYA,OLEGOVNA,1999-04-26,2,74532A356DF3
